,Origin_airport,Destination_airport,Origin_city,Destination_city,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
2736454,ATL,SHV,"Atlanta, GA","Shreveport, LA",2731,3103,29,552,1999-06-01,3988728,360022,33.6366996765137,-84.4281005859375,32.4466018676758,-93.8255996704102
2736582,IAD,SHV,"Washington, DC","Shreveport, LA",0,0,1,1022,2000-02-01,9642062,376127,38.94449997,-77.45580292,32.4466018676758,-93.8255996704102
2736848,BUF,SHV,"Buffalo, NY","Shreveport, LA",0,107,1,1096,2000-10-01,1169159,376127,42.94049835,-78.73220062,32.4466018676758,-93.8255996704102
2736903,YIP,SHV,"Detroit, MI","Shreveport, LA",0,0,1,880,2000-06-01,8914942,376127,42.23789978,-83.53040314,32.4466018676758,-93.8255996704102
2737498,MBS,SHV,"Saginaw, MI","Shreveport, LA",0,0,1,930,2001-08-01,209363,375926,43.532901763916,-84.0795974731445,32.4466018676758,-93.8255996704102
2737559,YIP,SHV,"Detroit, MI","Shreveport, LA",0,0,1,880,2001-07-01,8958464,375926,42.23789978,-83.53040314,32.4466018676758,-93.8255996704102
2737764,MSY,SHV,"New Orleans, LA","Shreveport, LA",695,1767,93,271,2002-12-01,1311390,376140,29.9934005737305,-90.2580032348633,32.4466018676758,-93.8255996704102
2738022,RDU,SHV,"Raleigh, NC","Shreveport, LA",50,50,1,893,2002-07-01,863488,376140,35.8776016235352,-78.7874984741211,32.4466018676758,-93.8255996704102
2738042,MEM,SHV,"Memphis, TN","Shreveport, LA",40,66,2,285,2002-10-01,1226669,376140,35.0424003601074,-89.9766998291016,32.4466018676758,-93.8255996704102
2738233,GSO,SHV,"Greensboro, NC","Shreveport, LA",44,50,1,832,2003-06-01,661123,376825,36.0978012084961,-79.9373016357422,32.4466018676758,-93.8255996704102
2738243,HOU,SHV,"Houston, TX","Shreveport, LA",40,44,1,211,2003-11-01,5084017,376825,29.64539909,-95.27890015,32.4466018676758,-93.8255996704102
2738259,IAH,SHV,"Houston, TX","Shreveport, LA",3540,6300,126,192,2003-12-01,5084017,376825,29.9843997955322,-95.3414001464844,32.4466018676758,-93.8255996704102
2738287,ATL,SHV,"Atlanta, GA","Shreveport, LA",516,1450,29,552,2003-09-01,4673146,376825,33.6366996765137,-84.4281005859375,32.4466018676758,-93.8255996704102
